description,link,name,number,prerequisites,profs,text_profs,type,units,websites
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4650,Machine Learning and Econ,CS 294,,"[{'Nika\xa0Haghtalab': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nika.html', 'Prof.\xa0Michael\xa0JORDAN,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/jordan.html'}]",,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4506,Special Topics on Decentralized Finance,CS 294,,[{'Xiaodong\xa0Song': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/song.html'}],"Nate Pola,Neil Giridharan,Vivek Nair,Xiaoyuan Liu",LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4634,Privacy Preserving Systems,CS 294,,[{'Natacha\xa0Crooks': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/ncrooks.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4181,Computational Color,CS 294,,[{'Ren\xa0Ng': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/yirenng.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_3733,Immersive Computing and Virtual Reality,CS 294,,[{'Bjoern\xa0Hartmann': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/hartmann.html'}],"Dr. Allen Y. Yang, PhD",LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4180,Special Topics,CS 294,,[{'John\xa0CANNY': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/canny.html'}],"Alex Mabanta,Evonne Ng,Omotara Oloye",LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294,Experimental Design for Machine Learning on Multimedia Data,CS 294,,"[{'Dr.\xa0Gerald\xa0Friedland,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/friedland.html'}]",Eleanor Cawthon,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_3438,Vision and Language AI Seminar,CS 294,,[{'Trevor\xa0Darrell': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/darrell.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4651,Intro to Computer Vision and Computational Photography,CS 294,,"[{'Alexei\xa0Efros': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/efros.html', 'Angjoo\xa0Kanazawa': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/kanazawa.html'}]",Tim Brooks,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
 Topics will vary from semester to semester. See Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS294_4237,Introduction to Machine Learning,CS 294,,"[{'JENNIFER\xa0LISTGARTEN': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/listgarten.html', 'Jitendra\xa0MALIK': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/malik.html'}]",Marvin M Zhang,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs294
" This course provides an introduction to theoretical foundations, algorithms, and methodologies for machine learning, emphasizing the role of probability and optimization and exploring a variety of real-world applications. Students are expected to have a solid foundation in calculus and linear algebra as well as exposure to the basic tools of logic and probability, and should be familiar with at least one modern, high-level programming language. ",https://www2.eecs.berkeley.edu/Courses/CS289A,"Deep Reinforcement Learning, Decision Making, and Control",CS 289A," MATH 53, MATH 54, COMPSCI 70, and COMPSCI 188; or consent of instructor.",[{'Sergey\xa0Levine': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/svlevine.html'}],"Anikait Singh,Dhruv Shah,Jensen Gao,Kevin Li,Xinyun Chen",LEC, 4.0,http://inst.eecs.berkeley.edu/~cs289a
" Intersection of control, reinforcement learning, and deep learning. Deep learning methods, which train large parametric function approximators, achieve excellent results on problems that require reasoning about unstructured real-world situations (e.g., computer vision, speech recognition, NLP). Advanced treatment of the reinforcement learning formalism, the most critical model-free reinforcement learning algorithms (policy gradients, value function and Q-function learning, and actor-critic), a discussion of model-based reinforcement learning algorithms, an overview of imitation learning, and a range of advanced topics (e.g., exploration, model-based learning with video prediction, transfer learning, multi-task learning, and meta-learning).",https://www2.eecs.berkeley.edu/Courses/CS285,Statistical Learning Theory,CS 285, COMPSCI 189 or COMPSCI 289A or equivalent.,"[{'Benjamin\xa0Recht': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/brecht.html', 'Moritz\xa0Hardt': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mhardt.html'}]","Meena Jagadeesan,Mihaela Curmei",LEC, 3.0,http://inst.eecs.berkeley.edu/~cs285
" Classification regression, clustering, dimensionality, reduction, and density estimation. Mixture models, hierarchical models, factorial models, hidden Markov, and state space models, Markov properties, and recursive algorithms for general probabilistic inference nonparametric methods including decision trees, kernal methods, neural networks, and wavelets. Ensemble methods. ",https://www2.eecs.berkeley.edu/Courses/CSC281A,Implementation of Programming Languages,CS C281A,,[{'Koushik\xa0Sen': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/ksen.html'}],,LEC, 3.0,http://inst.eecs.berkeley.edu/~cs281a
" Compiler construction. Lexical analysis, syntax analysis. Semantic analysis code generation and optimization. Storage management. Run-time organization. ",https://www2.eecs.berkeley.edu/Courses/CS264,Design of Programming Languages,CS 264, COMPSCI 164; COMPSCI 263 recommended.,[{'Alvin\xa0Cheung': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/akcheung.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs264
" Selected topics from: analysis, comparison, and design of programming languages, formal description of syntax and semantics, advanced programming techniques, structured programming, debugging, verification of programs and compilers, and proofs of correctness. ",https://www2.eecs.berkeley.edu/Courses/CS263,Advanced Topics in Computer Systems,CS 263, COMPSCI 164,[{'John\xa0Kubiatowicz': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/kubiatowicz.html'}],Stephanie Wang,LEC, 3.0,http://inst.eecs.berkeley.edu/~cs263
" Graduate survey of systems for managing computation and information, covering a breadth of topics: early systems; volatile memory management, including virtual memory and buffer management; persistent memory systems, including both file systems and transactional storage managers; storage metadata, physical vs. logical naming, schemas, process scheduling, threading and concurrency control; system support for networking, including remote procedure calls, transactional RPC, TCP, and active messages; security infrastructure; extensible systems and APIs; performance analysis and engineering of large software systems. Homework assignments, exam, and term paper or project required. ",https://www2.eecs.berkeley.edu/Courses/CS262A,Introduction to Digital Design and Integrated Circuits Lab,CS 262A, COMPSCI 162 and entrance exam.,[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 4.0,http://inst.eecs.berkeley.edu/~cs262a
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS251LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LB," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS251LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LB," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS251LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LB," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS251LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LB," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251lb
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS251LA,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LA," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251la
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS251LA,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LA," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251la
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS251LA,Introduction to Digital Design and Integrated Circuits,EECS 251LA," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LEC, 2.0,http://inst.eecs.berkeley.edu/~eecs251la
" An introduction to digital circuit and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs, and projects.",https://www2.eecs.berkeley.edu/Courses/EECS251A,Introduction to Embedded Systems,EECS 251A, EECS 16A and EECS 16B; COMPSCI 61C; and recommended: EL ENG 105. Students must enroll concurrently in at least one the laboratory flavors EECS 251LA or EECS 251LB. Students wishing to take a second laboratory flavor next term can sign-up only for that laboratory section and receive a letter grade. The prerequisite for “Lab-only” enrollment that term will be EECS 251A from previous terms.,[{'Sanjit\xa0A.\xa0Seshia': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/seshia.html'}],,LEC, 3.0,http://inst.eecs.berkeley.edu/~eecs251a
" This course introduces students to the basics of models, analysis tools, and control for embedded systems operating in real time. Students learn how to combine physical processes with computation. Topics include models of computation, control, analysis and verification, interfacing with the physical world, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects. ",https://www2.eecs.berkeley.edu/Courses/CSC249A,Optimization Models in Engineering,CS C249A,,[{'Laurent\xa0El\xa0Ghaoui': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/elghaoui.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs249a
" This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization. ",https://www2.eecs.berkeley.edu/Courses/EECS227AT,Statistical Signal Processing,EECS 227AT, MATH 54 or consent of instructor.,[{'Jiantao\xa0JIAO': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/jiantao.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs227at
" This course connects classical statistical signal processing (Hilbert space filtering theory by Wiener and Kolmogorov, state space model, signal representation, detection and estimation, adaptive filtering) with modern statistical and machine learning theory and applications. It focuses on concrete algorithms and combines principled theoretical thinking with real applications.",https://www2.eecs.berkeley.edu/Courses/EECS225A,Computational Principles for High-dimensional Data Analysis,EECS 225A, EL ENG 120 and EECS 126.,"[{'Jiantao\xa0JIAO': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/jiantao.html', 'Yi\xa0Ma,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/yima.html'}]",,LEC, 3.0,http://inst.eecs.berkeley.edu/~eecs225a
" Introduction to fundamental geometric and statistical concepts and principles of low-dimensional models for high-dimensional signal and data analysis, spanning basic theory, efficient algorithms, and diverse real-world applications. Systematic study of both sampling complexity and computational complexity for sparse, low-rank, and low-dimensional models – including important cases such as matrix completion, robust principal component analysis, dictionary learning, and deep networks.",https://www2.eecs.berkeley.edu/Courses/EECS208,Introduction to Robotics,EECS 208," The following courses are recommended undergraduate linear algebra (Math 110), statistics (Stat 134), and probability (EE126). Back-ground in signal processing (ELENG 123), optimization (ELENG C227T), machine learning (CS189/289), and computer vision (COMPSCI C280) may allow you to appreciate better certain aspects of the course material, but not necessary all at once. The course is open to senior undergraduates, with consent from the instructor.","[{'Yi\xa0Ma,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/yima.html'}]","Jaeyun Seo,Jay Monga,Josephine Koe,Koushil Sreenath",LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs208
" This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed. The course also presents the use of the same analytical techniques as manipulation for the analysis of images & computer vision. Low level vision, structure from motion, & an introduction to vision & learning will be covered. The course concludes with current applications of robotics.",https://www2.eecs.berkeley.edu/Courses/EECS206A,Supervised Independent Study,EECS 206A," Familiarity with linear algebra at level of EECS 16A/EECS 16B or MATH 54. Experience doing coding in python at the level of COMPSCI 61A. Preferred: experience developing software at level of COMPSCI 61B and experience using Linux. EECS 120 is not required, but some knowledge of linear systems may be helpful for the control of robots.",[{}],"Prof. David Foster, PhD",IND, 4.0,http://inst.eecs.berkeley.edu/~eecs206a
 Supervised independent study. Enrollment restrictions apply. ,https://www2.eecs.berkeley.edu/Courses/CS199,UCBUGG: 3D Modeling and Animation,CS 199, Consent of instructor and major adviser. ,[{'Dan\xa0Garcia': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/garcia.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs199
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_3164,Introduction to Algorithmic Thinking,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Jelani\xa0Nelson': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/minilek.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4643,Algorithmic Fairness and the Genome  (2 hour version),CS 198, 2.0 GPA or better; 60 units completed. ,[{'Nilah\xa0Monnier\xa0Ioannidis': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nilah.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4624,Algorithmic Fairness and the Genome  (1 hour version),CS 198, 2.0 GPA or better; 60 units completed. ,[{'Nilah\xa0Monnier\xa0Ioannidis': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nilah.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4623,Recommendation Systems in Machine Learning DeCal,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Anca\xa0Dragan': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/anca.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4622,Digital Privacy,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Laurent\xa0El\xa0Ghaoui': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/elghaoui.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4617,Robot Autonomous Racing DeCal,CS 198, 2.0 GPA or better; 60 units completed. ,[{}],"Dr. Allen Y. Yang, PhD",GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4621,ANova DeCal,CS 198, 2.0 GPA or better; 60 units completed. ,[{'John\xa0DeNero': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/denero.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4277,Cloud Computing and SaaS,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Prof.\xa0Armando\xa0Fox': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/fox.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_4290,Going Down the EECS Stack DeCal,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Anant\xa0Sahai': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/sahai.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_3052,Web Design DeCal,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Bjoern\xa0Hartmann': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/hartmann.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_2940,Linux System Administration DeCal,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Paul\xa0HILFINGER': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/hilfinger.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_3339,UCBUGG: 3D Modeling and Animation,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Dan\xa0Garcia': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/garcia.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_3164,Directed Group Studies for Advanced Undergraduates,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Dan\xa0Garcia': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/garcia.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198,iOS DeCal,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Dan\xa0Garcia': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/garcia.html'}],,GRP, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Group study of selected topics in Computer Sciences, usually relating to new developments. ",https://www2.eecs.berkeley.edu/Courses/CS198_2872,Senior Honors Thesis Research,CS 198, 2.0 GPA or better; 60 units completed. ,[{'Sarah\xa0Chasins': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/schasins.html'}],,IND, 1-4,http://inst.eecs.berkeley.edu/~cs198
" Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division technical units in the College of Letters and Science with a major in Computer Science. ",https://www2.eecs.berkeley.edu/Courses/CSH196A,Senior Honors Thesis Research,CS H196A, Open only to students in the computer science honors program. ,[{'Ruzena\xa0BAJCSY': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/bajcsy.html'}],,IND, 1-4,http://inst.eecs.berkeley.edu/~cs196a
" Thesis work under the supervision of a faculty member. To obtain credit the student must, at the end of two semesters, submit a satisfactory thesis to the Electrical Engineering and Computer Science department archive. A total of four units must be taken. The units many be distributed between one or two semesters in any way. H196A-H196B count as graded technical elective units, but may not be used to satisfy the requirement for 27 upper division technical units in the College of Letters and Science with a major in Computer Science. ",https://www2.eecs.berkeley.edu/Courses/CSH196A,Social Implications of Computer Technology,CS H196A, Open only to students in the computer science honors program. ,"[{'John\xa0DeNero': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/denero.html', 'Prof.\xa0Josh\xa0Hug': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/joshhug.html'}]",Nikita Samarin,LEC, 1-4,http://inst.eecs.berkeley.edu/~cs196a
 Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students will lead discussions on additional topics. ,https://www2.eecs.berkeley.edu/Courses/CS195,Special Topics on Decentralized Finance,CS 195,,[{'Xiaodong\xa0Song': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/song.html'}],"Nate Pola,Neil Giridharan,Vivek Nair,Xiaoyuan Liu",LEC, 1.0,http://inst.eecs.berkeley.edu/~cs195
 Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4634,Computational Genomics,CS 194, Consent of instructor. ,[{'Nilah\xa0Monnier\xa0Ioannidis': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nilah.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs194
 Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4584,EECS for All: Social Justice in EECS,CS 194, Consent of instructor. ,[{'John\xa0CANNY': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/canny.html'}],"Alex Mabanta,Evonne Ng,Omotara Oloye",LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs194
 Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4431,Intro to Computer Vision and Computational Photography,CS 194, Consent of instructor. ,"[{'Alexei\xa0Efros': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/efros.html', 'Angjoo\xa0Kanazawa': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/kanazawa.html'}]",Tim Brooks,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~cs194
 Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4237,Parallel Programming,CS 194, Consent of instructor. ,[{'Kathy\xa0Yelick': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/yelick.html'}],"Alexander Julian Reinking,Alok Tripathy",LEC, 1.0-4.0,"https://inst.eecs.berkeley.edu/~cs194-26/,http://inst.eecs.berkeley.edu/~cs194"
 Topics will vary semester to semester. See the Computer Science Division announcements. ,https://www2.eecs.berkeley.edu/Courses/CS194_4178,Quantum Information Science and Technology,CS 194, Consent of instructor. ,[{}],Hartmut Haeffner,LEC, 1.0-4.0,"https://inst.eecs.berkeley.edu/~cs194-15,http://inst.eecs.berkeley.edu/~cs194"
" This multidisciplinary course provides an introduction to fundamental conceptual aspects of quantum mechanics from a computational and informational theoretic perspective, as well as physical implementations and technological applications of quantum information science. Basic sections of quantum algorithms, complexity, and cryptography, will be touched upon, as well as pertinent physical realizations from nanoscale science and engineering. ",https://www2.eecs.berkeley.edu/Courses/CSC191,Introduction to Machine Learning,CS C191," Linear Algebra (EECS 16A or PHYSICS 89 or MATH 54) AND either discrete mathematics (COMPSCI 70 or MATH 55), or quantum mechanics (PHYSICS 7C or PHYSICS 137A or CHEM 120A).","[{'JENNIFER\xa0LISTGARTEN': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/listgarten.html', 'Jitendra\xa0MALIK': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/malik.html'}]",Marvin M Zhang,LEC, 3.0,http://inst.eecs.berkeley.edu/~cs191
